,movie_id,Title,plot
20,9021032,Koodi Vazhnthal Kodi Nanmai,a family that is made up of different working classes suffers strain and breaks up over its conflicting lifestyles. can they reunite? v.sekhar drama
21,356800,Kuberan,"sidharthan, a part-time actor who pretends to be a rich man in order to rent a house, faces several challenges when he tries to help pooja deal with her tragic past. ramanarayanan comedy  drama"
22,14789868,Unakkaga Mattum,"subramani (adhitya), a timid and rich brahmin boy, falls in love with lakshmi (poonam), a poor girl. raja (chinni jayanth), a rich drunkard, joins the college. raja falls for lakshmi but later withdraws, and he is content to remain her good friend. subramani begins to suspect the relationship between raja and lakshmi. subramani becomes a drunkard, although raja stops drinking alcohol. chinnijayanth drama"
23,14789310,Kann Thirandhu Paaramma,an army chief tries to clear all the problems to save the kingdom. l.c.selva drama
24,116629,Independence Day,"the aliens are coming and their goal is to invade and destroy earth. fighting superior technology, mankind's best weapon is the will to survive. a.r.ramesh action  adventure  sci-fi"
25,294834,Parthen Rasithen,"shankar, a graduate, awaits recruitment and lives as a tenant with bhanu who seeks his company to stay away from her stepbrother. meanwhile, shankar begins to fall in love with sarika. saran romance  thriller"
26,9001890,Kannaal Pesavaa,"a popular music director, starts recollecting his past when a film director comes to explain him a song situation. he falls in love with a singer who ignores him at first but then starts loving him. rajkhanna drama"
27,328089,Maayi,"maayi is always protective of the women in his village. one day, he learns that his father has a second wife and gets miffed at him. after his father commits suicide, he brings his stepsister home. suryaprakash comedy"
28,274372,Bharathi,"based on a true story of tamil poet subramania bharati, who struggled hard for the freedom of india. gnanarajasekaran biography  drama"
29,14789156,Chinna Chinna Kannile,"rathi (khushbu sundar), a music video director, lives with her husband ravi (nassar) and their two kids. however, she is unaware that her husband is actually a robber. he carries outsmart crimes with his partner sabesan (prakash raj). the police officer dev (thalaivasal vijay) is pressured to arrest them. after a diamond heist gone wrong, ravi finally gets caught while sabesan escapes. ravi managed to hide the diamonds in his house before being hauled off by the police. during the police custody, ravi is shot by dev, injuring him heavily. so ravi is moved to the hospital, and the doctors eventually save his life. thereafter, sabesan goes to his ward and questions ravi about the diamonds. sabesan even killed his partner to leave oneself a way out. sabesan is now urged to find the diamonds and enters rathi's household as ravi's friend. what transpires later forms the crux of the story. ameerjan drama"
30,6757950,Sabhash,a blind person's wife is found dead and he wants to investigate this by suspecting it as a murder. k.subash thriller
31,14789126,Unnai Kann Theduthey,the police find a dead body in a river holding on to a 'thaali' and a wedding invitation. they begin an investigation that takes them to a house where wedding preparations are in full swing. sundarc. drama
32,8929736,Budget Padmanabhan,"when he was a young boy, a man was driven out of his house along with his parents by an evil-hearted money lender, who stipulated a time period that if he could raise enough money to buy back the house he could reclaim it as his own. t.p.gajendran drama"
33,274566,Ilaiyavan,"satyan, a college student, is against the unruly behavior of his co-students. he meets kausalya and falls in love with her. but a misunderstanding between the two causes friction. t.babu musical"
34,14788536,Karuvelam Pookkal,"it is a graphic picture of the abject misery of the rural poor. its hard hitting message screams at you from the screen, loud and clear. hitherto, there seemed to be only a couple of angles to child labour in india, viz., children losing out on their carefree childhood and basic formal education. but there are so many other unthought of issues too, says scriptwriter and director poomani, through the film karuvelam pookkal, jointly produced by nfdc and doordarshan. karisalkulam, a small village, is inhabited mainly by farmers. when the arid land offers them nothing but penury, enter the match factory owners from nearby villages. they lure the credulous, illiterate villagers into sending their daughters to work at the factories from dawn to much after dusk. the initial euphoria of a steady income givesway to despair, as is clearly brought out through the story of nallamuthu (nasser), his wife vadivu (radhika) and their three children. mariyappan (charle) is the match factory agent in charge of finding child labourers for the factory. while the children slog in the factories the men of the household become lazy appendages who spend their time getting drunk. nasser, as the cynical father, who does not wish to get his daughter married because he does not want to forgo the income, has rendered a splendid performance in karuvelam pookal. mention must be made of the scenes in which he cries aloud at his tragedies and when his impotent anger is turned towards the agents of the match factories. radhika's is another sterling portrayal. in the role of a responsible mother caught between her husband's apathy and avarice and her children's untold suffering, she indeed lives the character. sonia is the eldest daughter, dhanalakshmi. caught in the quagmire of drudgery and in the strangulating web of poverty, she seeks a way out, but sadly the respite is too short lived. a convincing essay by the young actress. the visuals of the opening sequences transport you to the days of bharatiraja's movie 16 vayadhinilae. the beautifully captured rustic ambience is another creditable show by thangar bachan who has wielded the camera. the dialect, the innocent humour, the openness and the gullibility - poomani presents them all with absolute vividness. the factories need only young girls and the boys therefore escape the hardship. after stressing on this point throughout, it is strange to see the boy accompany his sister to work, in the end. the fragrance of karuvelam pookkal is bound to last in the minds of the discerning audience. a film that makes you think. poomani drama"
35,14788468,Puratchikkaaran,"thamizhmani, a non-believer in god, kidnaps three different heads of religion. during an interview at his hideout, he relates to kanimozhi, a journalist, as to how a brahmin turned into a terrorist. veluprabhakaran drama"
36,4971292,Uyirile Kalanthathu,"raghuram and suriya are siblings. being the youngest child in the family, suriya is pampered by everyone. feeling rejected and ignored, raghuram decides to ruin suriya's life. k.r.jaya thriller"
37,14787878,Palayathu Amman,"the film starts with a saint in a gurukulam announcing to his students that devi's birth to kill the evil shall come soon. the satan (charan raj) kills the saint, but devi's birth is not stopped. it grows up as a child for ramki and divya unni. the child gets all kinds of harm from the satan, but the goddess palayathu amman (meena) saves it every time. at the same time, divya unni thinks palayathu amman wants to take away her child, so she tries to save it from her. at last, the child is kidnapped and about to be killed when palayathu amman kills the satan and returns the child to her parents. ramanarayanan drama"
38,262037,Thenali,a neurotic sri lankan patient crashes his psychotherapist's family vacation in kodaikanal. k.s.ravikumar comedy  drama
39,14787872,Vaanavil,"surya (arjun) a farmer's son from madurai, j. prakash (prakash raj) the only son of a billionaire industrialist and priya (abhirami) an ooty-based tea estate heiress board a train to delhi as strangers, in the chennai central station. they get seats next to each other and introduce themselves to one another. as a coincidence, they get to know that all 3 of them have passed the upsc exams with high ranks, and are going to delhi for phase-4 of their civil service training and become friends. during the course of the training, surya loves priya, whereas prakash lusts after her. while surya's dad manivannan and priya's family visit the trio in agra, prakash reveals to priya's mom about his desire to marry priya. at the same time, surya's dad asks surya to marry priya. during the last days of training, priya also falls in love with surya. during the results of phase 4, priya gets selected as cadre-i ias officer, while prakash misses the cut-off and becomes cadre-ii ips officer, because he had spent 2 minutes of the final exam thinking about priya. at the same time, surya's results are held back by the upsc board, because of an fir in surya's name. 3 years earlier, surya was a village farmer. during harvest, the local tasildar refused to pay the farmer's demand and started to forcefully take their cane crop to government stores at a cheaper price. surya protested against this, and he hits the tasildar as the tasildar hit his father. surya is arrested and placed in police custody. the villages continue their protest at the police station, prompting the district collector lakshmi ias to come to the station the next day. she studies the situation, and causes the government to pass a go in favor of the farmer's demands. while she asks the police to release surya after knowing that he is a post-graduate, they refuse, as an fir has been filed on him, and surya must be presented before a magistrate. shocked by this development, the collector, in her right as district magistrate cancels the fir and lets surya go free. this power of an ias officer led to surya taking up the upsc exams. after surya's explanation, upsc agrees to let him go, but holds his result pending an inquiry. surya and priya then visit lakshmi ias, who is now deputy-home secretary in chennai, asking her help. after that they propose to one another, and start their one-month vacation. surya refuses to go to his village, as he had promised that he will return only as an ias officer. so he visits priya's family in ooty. priya's mom and sister happily accept surya as prospective groom for priya. after a month, priya leaves for her job as assistant collector in chennai. while all goes well, it is revealed that months ago, a rich newspaper owner son arun has tries to harass priya's sister pavithra during her way to school and pavi had him imprisoned for that. arun, in an act of vengeance, blocks pavi's public exam number in all newspapers on the result day. due to power failure, no news of results reaches priya on the correct time, and priya's mother assumes that she has failed her exam due to playfulness. hurt, pavi commits suicide. during her funeral, news agencies come to reveal that pavi had come as first rank in the state. adhi and his friend also come to the funeral. adhi's friend reveals adhi's misdeeds to the public and surya pushes adhi against a tree, in a fit of rage. adhi gets a head injury and dies. surya is arrested on murder charges and sent to chennai prison for remand. at the same time, prakash joins as an ips officer, and begins his duty in chennai jail. it is revealed that prakash is to serve for 24 hours to fulfill his father's wishes and then resign to enjoy his life as a billionaire. at the same time, surya is brought to prakash's jail. prakash is initially shocked at surya's state, but decided to use it to his advantage. he cancels his resignation plans and makes multiple attempts as surya's life through the inmates. he also asks surya to convince priya to marry him. surya agrees, and prakash takes him out on parole to meet priya. there, surya reveals that he knows that prakash informed the upsc about his fir incident, and surya will not give up priya. this makes prakash even angrier. days later, prakash receives telegram that surya's dad is dead, but he refuses to let surya go for the funeral. surya is aided by a constable alex, and he escapes via a tunnel. it turns out that alex is on the payroll of prakash. within minutes of surya's escape, alex is killed by prakash, and he frames surya for that murder. he conspires with arun's father to publish headlines that surya has been shot dead for the murder of alex. surya is received by an impostor at the end of the tunnel, and realises the folly. surya comes back to the jail by daybreak, beats prakash black and blue, and reseals himself in his cell. the arriving officers realised prakash's crimes and arrest him. the public outcry for surya causes the high court to acquit him of the accidental murder, and thus surya joins the state government as an ias officer, and makes his dad proud. he also marries priya. manojkumar drama"
40,14353332,Vanna Thamizh Pattu,"the secret son-in-law of an influential family, where everyone hates love and romance, arrives posing as a servant in order to gain their affection. p.vasu romance"
41,354922,Snegithiye,"two friends vasu and radhika get involved in a murder investigation of a man they made up to prank radhika's aunt, now they have to prove their innocence. priyadarshan drama  musical  mystery  thriller"
42,14787802,En Sakhiye,"sakhi (divya), a gold medallist at her college, is an orphan and she completed her college degree thanks to the scholarship programme. after the graduation ceremony, she breaks down in tears as she has no one to turn to and nowhere to go. her friend rama (meenal) then accommodates her at her home. later, sakhi finds a job in a company. the company manager shanmugam (shanmugasundaram) warns her about the managing director raja (prabhu sekhar) who spends his days drinking and hanging around with his friends at the beach. sharma (k. rajan), the company owner and father of raja, is busy working overseas and hates his son's behaviour. sakhi relentlessly pursues the drunkard raja, makes him fall in love with her. thereafter, sakhi makes him change his bad habits and raja is now ready to wed her. but just before the wedding, sakhi kills him. she now turns her attention to sunil (devaraj), raja's younger brother, who comes to his brother's funeral from abroad. in contrast to his brother, sunil is a responsible and smart person. he also falls in love with sakhi. one of raja's friend and shanmugam know that raja was killed by sakhi before they disclose the truth sakhi murders them. sunil starts to wonder about his brother's death. what transpires next forms the rest of the story. raviraja drama"
43,14787764,Pottu Amman,"a poor boy parshu is in love with upper caste sanju, who is the daughter of the local politician. they are attracted to each other and a young romance is blossoming. but with caste politics and opposition at play, trouble seems in store ahead for them. will they be able to fight their love? k.rajarathinam drama"
44,887254,Ennavale,"james vasanth and his three friends, all differently disabled, are struggling musicians playing at weddings. they rent a room at laxmi's fathers house and james and laxmi fall in love. after a suggestion by laxmi, the group finds success with their music. however, the course of true love never runs smooth...—andrea j.suresh romance"
45,6765202,Manu Needhi,"in a bid to seek revenge for a past misdeed, a man asks his nephew to falsely love the daughter of his enemy so that he can later humiliate them all. but his nephew really falls in love with the girl. thambiramaiah "
46,14787222,Nee Enthan Vaanam,"the film begins with three terrorists robbing an armoured government van full of cash, in the process, they kill the police officers in the vehicle. the police department is now looking for the three culprits, the police even set monetary reward offered to whoever catches the wanted criminals. prakash (rocky), the head of the terrorist group, has no choice but to take refuge in pasumalai forest with his partners siva and guna. according to a reliable source, the police department under the orders of sathya (vignesh) and alex pandian (charan raj) set a camp in the forest. sathya is an upright and calm sub-inspector while alex pandian is a disrespectful inspector. in pasumalai forest, a small tribal group lives there and the tribe welcomes the police force with respect. thereafter, sathya falls in love at first sight with the tribal girl meenu (reshma), meenu eventually accepts his love. in the meantime, the tribal women are mysteriously killed one by one the night. sathya first suspects alex pandian (charan raj) who has this irreverent attitude toward women. prakash who prowls around in the forest has an eye on the tribal women. afterwards, sathya finds a treehouse in the middle of the forest and finds the killer's personal diary. in the past, dheepan (bhaskar), the killer, was a happily married man but he had sexual problems. his wife megha had an affair with his best friend. when dheepan knew about their affair, he killed them both and was sentenced to life imprisonment. dheepan then managed to escape from jail and he became a member of the tribe. dheepan next target is none other than sathya's lover meenu. the rest of the story is how sathya and alex pandian arrest the three terrorists and the misogynist psychopath deepan. r.k.suresh drama"
47,807944,Dheena,"dheena works for his brother adhikesavan, a gangster, and is very close to him. however, things turn sour between them after a misunderstanding leads to the death of their sister. a.r.murugadoss action  drama"
48,108778,Friends,follows the personal and professional lives of six twenty to thirty year-old friends living in the manhattan borough of new york city. siddique comedy  romance
49,8032774,Looty,"a childless couple adopts a child, but the wife becomes convinced her husband sired the child with another woman. the son decides to seek out his birth mother to find out the truth. parameshwar comedy"
50,15145976,Vaanchinathan,"vaanchinathan, a straightforward policeman, is not allergic to exploiting the loopholes in the law to eliminate the criminals who have thus far not been punished by the judiciary. shajikailas action"
51,357905,Minnale,a young girl is torn between an obsessive lover and a mild-mannered suitor. gauthamvasudevmenon comedy  drama  musical  romance
52,8774854,Ullam Kollai Poguthae,"anbu, a dubbing artiste, falls in love with his sister's friend jyothi, who is in love with gautham. just when they are about to get married, an accident changes the course of their lives forever. sundarc. drama  romance"
53,13760908,Piriyadha Varam Vendum,"piriyadha varam vendum is a tamil fantasy drama on zee tamil. the series stars vimal, madhumitha and priyanka in the lead roles. this is about a pair to given a second chance to blossom as it remained incomplete in the past. kamal fantasy"
54,6758006,Ninaikkatha Naalillai,"anbu and arun (r. parthiban - rahman) are bosom buddies with anbu being indebted to the wealthy arun for various reasons. anbu falls in love with kavitha (devayani), whose close friend is kausalya (kaveri). arun soon develops a soft corner for kausalya whom he had never seen. her lofty thoughts expressed in her letters to kavita, had attracted him to her. kausalya reads his messages to her sent through kavita's letters and finds herself reciprocating to arun's feelings and the plot thickens—baalacm a.l.raja drama"
55,4488886,Vinnukum Mannukum,"selvam loves actress devyani and wants to marry her. when she arrives in town for a shoot, selvam's family is led to believe that both are getting married. but devyani rudely denies their proposal. rajakumaran action"
56,2778674,Badri,"when a kickboxer gets attacked by his enemies and ends up bedridden, his brother sets out to fulfil his dream of winning the kickboxing championship. p.a.arunprasad action  sport"
57,307101,Little John,"the unmarried daughter of a texas rancher gives birth to an unwanted child. she puts the child up for adoption and moves away from home. without her knowledge, her father took the boy and raised him. twelve years later, she is now a successful family-court judge in l.a. over the years, she has avoided her father and knows nothing of the child. that all changes when he decides that is time she knew her own child and heads for l.a. however, he quickly finds that she wants nothing to do with her father and cares little about the son she never knew.—john sacksteder <jsackste@bellsouth.net> singeethamsrinivasarao drama"
58,328395,Seerivarum Kaalai,kaalai helps women who face domestic violence from their in-laws. he meets kamakshi who is regularly harassed by her sister-in-law. he helps her and eventually they get married. ramarajan drama  romance
59,6539198,Middle Class Madhavan,madhavan is a lawyer and the breadwinner of his family. he finds it difficult to enjoy his married life as he struggles with his family's financial and personal issues. t.p.gajendran comedy  drama
60,2229996,Aanandham,"tirupathi, the eldest son in the family, works hard to raise his three brothers madhavan, kannan and surya. however, problems arise in the family when madhavan's wife begins to rebel against him. n.lingusamy drama"
61,15010664,Sonnal Thaan Kaadhala,"roja, a part-time singer, works at a finance company where her colleague, murali, is madly in love with her. however, roja rejects his proposal as she is the sole breadwinner of her large family. t.rajendar romance"
62,2325803,Kunguma Pottu Gounder,"after their bank heist goes wrong, a desperate criminal, his out-of-control brother, and their motley crew of ex-marines must escape new orleans and the determined fbi agent who pursues them. g.saisuresh "
63,319316,Dosth,the film revolves around two college friends where one is a new student. the new student falls in love with his friend's sister without knowing she is his friend's sister. the plot forms when he realize the truth. s.a.chandrasekhar drama  romance
64,375705,Dhill,"a young police aspirant gets into an altercation with a corrupt cop, who then proceeds to ruin his life and career prospects. dharani action  drama"
65,10127868,Narasimha,"rasool akhtar terrorises the nation when he plans to kidnap the chiefs of the defence services and execute them publicly. narasimha, an honest police officer, tries to foil rasool's plans. thirupathisamy action"
66,6516858,Super Kudumbam,"hari loves parimala, whose father is a strict major. in order to please him, hari plans a scheme and asks arun and shanthi (roja) to act as man and wife. r.k.kalaimani drama"
67,2262126,Kalakalappu,"a man struggles to save his family-owned restaurant as it is running in loses. he soon falls for a health inspector keen on shutting down the place. when his brother enters the scene, things get worse. vishwa comedy"
68,1708487,Kutty,"kutty, a kind young man, falls in love with geeta, but she does not reciprocate his love. he continues to love her even after learning that she is in love with arjun, her college-mate. janakivishwanathan action  drama  romance"
69,26691554,Viswanathan Ramamoorthy,"40+ years of friendship between two intimate families is at stake, when a young woman from one of the families is indignant towards a young man from the other family, when he mistrusts her love towards him. ramanarayanan comedy"
70,14901604,Vedham,"vijay and sanjay become best friends after vijay saves him from a tragedy. when he learns that sanjay has filed for divorce, he takes it upon himself to unite the couple. arjun romance"
71,3907636,Chocklet,"aravind, a college student, falls in love with a newcomer, unaware that she is the daughter of his police officer friend. a.venkatesh drama"
72,1312057,Alli Thandha Vaanam,"alli thandha vaanam is a 2001 indian tamil film, directed by sridhar prasadh and produced by m. kajamydeen. the film stars prabhudeva, murali, laila, kalyani, prakash raj and vivek in lead roles. the film had musical score by vidyasaagar. sridharprasad drama"
73,10427030,Veettoda Mappillai,"a hard working man who has three daughters owns and manages a restaurant. impressed by the sincerity of his newly appointed hotel manager, he decides to get his youngest daughter married to him, but the other two sons-in-law do not like him. watch the full movie veettoda mappillai online, only on eros now. v.sekhar "
74,411733,Pandavar Bhoomi,"dhanasekar hires an engineer, to rebuild his ancestral house. when he falls in love with dhanasekar's niece, dhanasekar narrates his family's past, which changes his mind to sacrifice his love. cheran drama  family"
75,10168534,Mitta Miraasu,chellaiya has two missions in life. the first is to remove the taint on the family name and expose the man behind his family's misfortunes. the second is to make his younger sibling a lawyer so that it will help him in achieving the first mission. kalanjiyam 
76,294264,Aalavandhan,"nandu and vijay are brothers, who were abused by their stepmother during their younger days. nandhu, who is mentally ill, decides to kill vijay's fiancee as he visualizes her as his stepmother. sureshkrishna action  crime  thriller"
77,12188610,Aandan Adimai,"a lost child, sivaraman, is adopted by a low caste couple and grows up to be a cobbler. when he finds his real family who are brahmins, he is unable to give up on either and begins to lead two lives. manivannan drama"
78,15079900,Kaatrukkenna Veli,"vennila is an undergraduate student, who aspires to be a teacher. when her father forces her to get married, vennila embarks upon an extraordinary journey to pursue her dreams. pugazhendhithangaraj drama"
79,2998102,Manadhai Thirudivittai,"deva a music college student falls in love with shruthi his college mate .as both fall in love and plan to marry,a huge shock twists deva's life . r.d.narayanamurthy romance"
80,375997,Nandha,"looking to put behind a past that haunts him, nandha tries to reconcile with his mother and live life on his terms. bala action  drama"
81,339485,Paarthale Paravasam,"movie revolves around a couple, their break-up after a dirty secret of one of them uncovers and its aftermath. k.balachandar comedy"
82,14819940,Ponnana Neram,"ramarajan portrays a police officer and prathyusha stars as a college student, who is a prankster who often gets others into trouble. prathyusha witnesses few terrorists planning to kill a minister - but nobody is ready to believe her. whether ramarajan stops the terrorist attack forms the crux of the story. raviraj drama"
83,6832682,Shahjahan,"ashok is the guy people turn to for love advice. he helps raja succeed in wooing the girl he loves, only to realise later that the she is none other than uma, the girl he himself is in love with. ravi drama  romance"
84,1740549,Thavasi,a noble and just man makes the ultimate sacrifice after he imposes an unjust sentence on a male from a poor family. udayasankar action  comedy  drama
85,8929248,Azhagana Naatkal,"watch the full movie, azhaagana naakal, only on eros now. azhaagana naatkal is a 2001 indian tamil film, directed by sundar c and produced by s. d. selvan. the film stars karthik, rambha, mumtaj and goundamani in lead roles. the film had musical score by deva. sundarc. drama"
86,14817350,Kadal Pookkal,"karuthayya (murali) and peter (manoj bharathiraja) are the best friends, sharing with each other their hopes and dreams. karuthayya's plan to get his beloved sister kayal (umashankari) married elsewhere is thwarted when he learns that she is in love with peter. he hears this from uppili (pratyusha), who has a soft corner for karuthayya and vice versa. for his sister's sake, karuthayya approaches peter with the marriage proposal. a shocked peter, who had all along shared an easy relationship with kayal, consents for the sake of friendship. peter then makes a counter proposal that karuthayya marry his sister maria. peter however withholds the fact that maria had been seduced by a man from the city and was carrying his child. family honor being uppermost in his mind, friendship takes a back seat. but peter does not know that karuthayya was already aware of his sister's affair, though not of her pregnancy. karuthayya, knowing his friend's aggressive nature, had not told peter about the matter earlier. karuthayya now throws the ball back in peter's court, asking him to first get maria's consent. sure that maria would not give her consent for the marriage. but to his shock maria agrees.forced by her mother and peter to toe the line, she had no other option. the two pairs get married. while peter and kayal are blissfully happy, karuthayya and maria have their own crosses to bear. a guilt-stricken maria finally confesses to karuthayya about peter's treacherous act. a shocked and hurt karuthayya goes to confront peter. the man from the city appears on the scene. a furious peter takes the unsuspecting youth on a boat ride, ties a stone on him, and dumps him into the sea. karuthayya, who reaches the place, tries to save the guy. bharathiraja drama"
87,23456554,Kasi,"a perfect wife, mother, and business owner battles a deep dark obsession that pushes her over the edge in this deadly recipe for murder vinayan thriller"
88,3817988,Kottai Mariamman,"kottai mariamman is a tamil devotional film directed and produced by rama narayanan. the film featured roja in the title role alongside karan and devayani, while vadivelu plays a supporting role. the film, which had music composed by deva. watch the full movie kottai mariamman online, only on eros now. ramanarayanan drama"
89,327028,Majunu,"vasanth, son of an mp, falls in love with heena. but heena seems to be the main suspect for a bomb attack on his father. vasanth secretly helps her return to kolkata and soon follows to meet her. ravichandran action  drama  romance"
90,485183,Alli Arjuna,"arivu lives with his friends due to being neglected by his parents. soon, savitri enters his life after he offers to help her when her groom disappears. saran romance"
91,459186,Azhagi,a married man's fidelity is tested when a childhood crush needs his help. thangarbachan drama  romance
92,422908,Pammal K. Sambandam,a single movie stuntman attempts to save the marriage of his hen-pecked brother. mouli comedy
